"There was a problem with the newsletter subscription: This email address is already assigned to another user.","There was a problem with the newsletter subscription: This email address is already assigned to another user."
"Confirmation request for newsletter subscription has been sent.","Confirmation request for newsletter subscription has been sent."
"Thank you for your newsletter subscription.","Thank you for your newsletter subscription."
"The password cannot be empty.","The password cannot be empty."
"Default Design","Default Design"
"Compact Design","Compact Design"
"Text Area","Text Area"
"Pop-up Window","Pop-up Window"
"Move Checkout to Cart","Move Checkout to Cart"
"Expand Checkout steps","Expand Checkout steps"
"Move Cart to Checkout","Move Cart to Checkout"
"Turn Off the extension","Turn Off the extension"
"Mark the checkbox","Mark the checkbox"
"Display a pop-up window","Display a pop-up window"
"Coupon code ""%s"" was applied.","Coupon code ""%s"" was applied."
"Coupon code was canceled.","Coupon code was canceled."
"Cannot update the item.","Cannot update the item."
"Cannot update shopping cart.","Cannot update shopping cart."
"Login and password are required.","Login and password are required."
"Invalid email address.","Invalid email address."
"A new password has been sent.","A new password has been sent."
"This email address was not found in our records.","This email address was not found in our records."
"Invalid checkout type.","Invalid checkout type."
"Please check shipping address information.","Please check shipping address information."
"Please check billing address information.","Please check billing address information."
"Please select valid payment method.","Please select valid payment method."
"Invalid method: %s","Invalid method: %s"
"Do you have any gift items in your order?","Do you have any gift items in your order?"
"Add gift options.","Add gift options."
"Gift Options for the Entire Order.","Gift Options for the Entire Order."
"Add gift options for the Entire Order","Add gift options for the Entire Order"
"You can leave this box blank if you do not wish to add a gift message for whole order.","You can leave this box blank if you do not wish to add a gift message for whole order."
"Gift Options for Individual Items","Gift Options for Individual Items"
"Add gift options for Individual Items","Add gift options for Individual Items"
"You can leave this box blank if you do not wish to add a gift message for the item.","You can leave this box blank if you do not wish to add a gift message for the item."
"Item %d of %d","Item %d of %d"
"About the calendar","About the calendar"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Display %s first","Display %s first"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
Time:,Time:
"Street Address %s","Street Address %s"
"Already a registered customer? Please click here to login.","Already a registered customer? Please click here to login."
"Please enter your email and password below to log in.","Please enter your email and password below to log in."
"Please enter your email below and we will send you a new password.","Please enter your email below and we will send you a new password."
"Required Fields","Required Fields"
"« Back to Login","« Back to Login"
"« Back to Checkout","« Back to Checkout"
"Coupon code:","Coupon code:"
"Create an account","Create an account"
"Accept & return to the checkout","Accept & return to the checkout"
"Don\'t accept & close this window","Don\'t accept & close this window"
"Edit item parameters","Edit item parameters"
